no;sex;definition;top_level_expectations;expectations;top_level_requirements;requirements;top_level_job;job
77;f;nauka, poznanie, umysł, mózg, człowiek;wiedza, prowadzący_i_program;zdobycie_wiedzy, szeroka_wiedza, dobrzy_prowadzący;;;sektor_IT, inne;sektor_IT, UX, programista, frontend, tatuażysta
78;f;nauka, umysł, mózg, poznanie;wiedza;zdobycie_wiedzy, przydatna_wiedza;;;sektor_korporacyjny, akademia;inżynier_finansowy, naukowiec
79;f;psychologia, nauka, SI;brak;niczego, nie_rozczarować;;;inne;szczęśliwy_człowiek
80;f;nauka, mózg, poznanie, człowiek, emocje;wiedza;zdobycie_wiedzy, psychologia, zarządzanie;;;nie_wiem;nie_wiem
81;f;nauka, poznanie, interdyscyplinarność, umysł, psychologia;wiedza;zdobycie_wiedzy;wewnętrzne, zewnętrzne;motywacja_własna, sposób_nauczania;sektor_zdrowie;psycholog
82;f;nauka, poznanie, umysł, modelowanie, mózg, studia;wiedza;zdobycie_wiedzy, przydatna_wiedza;zewnętrzne;sprzyjająca_atmosfera;akademia;naukowiec
83;f;nauka, poznanie, człowiek, mózg;wiedza;zdobycie_wiedzy;zewnętrzne;ciekawe_zajęcia;nie_wiem;nie_wiem
84;f;nauka, interdyscyplinarność, poznanie;;;;;;
85;f;nauka, poznanie, mózg, człowiek;praca, światopogląd;przygotowanie_do_rynku_pracy, znalezienie_pracy, kreatywna_praca, zrozumienie_siebie, zrozumienie_życia, światopogląd;;;nie_wiem;nie_wiem
86;;nauka, zmysły;wiedza;zdobycie_wiedzy, ciężka_nauka;;;akademia;naukowiec
87;m;nauka, poznanie, człowiek;wiedza, prowadzący_i_program;zdobycie_wiedzy, łączenie_dwóch_kierunków;;;nie_wiem;studiuję_by_wybrać_karierę
88;f;nauka, człowiek, poznanie;wiedza;zdobycie_wiedzy;wewnętrzne;motywacja_własna;akademia;naukowiec, badacz_autyzmu
89;f;nauka, człowiek, przetwarzanieinformacji;wiedza;zdobycie_wiedzy;wewnętrzne;motywacja_własna, praca_samodzielna;akademia;naukowiec, badacz_społeczny, nie_wiem
90;m;nauka, umysł, człowiek;;;;;;
91;f;nauka, poznanie, uczenie, mózg;wiedza;zdobycie_wiedzy;;;sektor_zdrowie;sektor_psychologia
92;m;nauka, poznanie, móżg, neurobiologia, psychologia;wiedza;zdobycie_wiedzy;zewnętrzne;znalezienie_pracy_zgodnej_z_kierunkiem;sektor_zdrowie;terapeuta, terapeuta_behawioralny
93;m;nauka, poznanie, interdyscyplinarność;wiedza,dyplom;zdobycie_wiedzy, uzyskanie_dyplomu;;;sektor_IT;sektor_IT, programista
94;m;nauka, poznanie, mózg, SI;;;;;;
