lp;plec;czym-jest-kognitywistyka;jakie-masz-oczekiwania-od-studiow;kiedy-te-oczekiwania-sie-spelnia;kim-chcesz-zostac
62;m;nauka o mózgu i umyśle, o poznaniu;zdobycie wiedzy, rozwój zainteresowań;;nie wiem
63;k;interdyscyplinarna nauka o ludzkim poznaniu, świadomości, SI;zdobycie wiedzy;;nie wiem
64;k;nauka o poznaniu i mózgu;zdobycie wiedzy;;dobrym i szczęśliwym człowiekiem
65;m;nauka o poznaniu, zmysłach, umyśle, inteligencji ludzkiej;zdobycie wiedzy celem zdobycia pieniędzy;motywacji własnej;UX, milionerem
66;k;nauka o poznaniu, umyśle, mózgu i emocjach;zdobycie wiedzy, zaciekawienia;;to wątpliwe
67;k;nauka o poznaniu;żeby się mi podobało, żeby podtrzymało motywację;ode mnie i środowiska;ux, szczęśliwym człowiekiem
68;k;nauka o ludzkim poznaniu, sztucznej inteligencji;znalezienie pracy, w której można wykorzystać wiedzę z kogni;;
69;k;psychologia++;możliwość studiowania po angielsku i wyjazdu za granicę;;neurologiem
70;k;nauka o poznaniu;;;nie wiem
71;;nauka o poznaniu i rozumowaniu;;;niesprecyzowane, ukierunkowane na biologię
72;m;nauka o mózgu;zdobycie wiedzy;;milionerem
73;k;interdyscyplinarna nauka o poznaniu i mózgu, sztucznej inteligencji;;;informatyczny obszar kognitywistyki
74;k;interdyscyplinarna nauka o poznaniu łącząca wiedzę o mózgu, świadomości, percepcji, neruobiologii, logiki i psychologii;zrozumienie życia, znalezienie pracy, rozwój;;nie wiem
75;k;nauka o poznaniu;nic nie oczekuję, by się nie rozczarować;;nie wiem
76;k;interdyscyplinarna nauka o ludzkim poznaniu;zdobycie wiedzy;;nie wiem
77;k;nauka o ludzkim umyśle i procesach poznawczych, mózgu;zainteresowanych tym co robią prowadzących, multidyscyplinarnej wiedzy, znajdywania lepszych długopisów na korytarzu;;ux, fronend, tatuażystka
78;k;nauka o umyśle, procesach mózgowych i poznaniu;zdobycie wiedzy przydatnej w biznesie;;inżynier finansowy, naukowiec
79;k;nauka o sztucznej inteligencji, psychologia;brak, żeby nie być zawiedzonym;;szczęśliwym człowiekiem
80;k;nauka o ludzkim mózgu, poznaniu, emocjach;zdobycie wiedzy psychologicznej i z zakresu zarządzania;;nie wiem
81;k;interdyscyplinarna psychologia, nauka o poznaniu i umyśle;zdobycie wiedzy;motywacji własnej, sposobu prowadzenia zajęć;psychologiem
82;k;nauka o poznaniu, umyśle, mózgu, modelowaniu umysłu, studia;zdobycie wiedzy, także wiedzy przydatnej w codziennym życiu;od atmosfery;naukowiec
83;k;nauka o ludzkim mózgu i poznaniu;zdobycie wiedzy;od tego czy zajęcia będą interesujące;nie wiem
84;k;interdyscyplinarna nauka o poznaniu;;;
85;k;nauka o ludzkim mózgu i procesach poznawania;odnalezienia siebie i celu w życiu, mieć realne szanse na dobrze płatną i kreatywną pracę;;nie wiem
86;;nauka o zmysłach;ciężkiej nauki, zdobycie wiedzy;;naukowcem
87;m;nauka o ludzkim poznaniu;zdobycie wiedzy, możliwości łączenia dwóch kierunków;;chcę się tutaj dowiedzieć
88;k;nauka o ludzkim poznaniu;zdobycie wiedzy;motywacji własnej;badaczem osób z autyzmem
89;k;nauka o człowieku i tym jak przetwarza informacje;zdobycie wiedzy;motywacji własnej, samodzielnej pracy;badaczem społecznym, nie wiem
90;m;nauka o ludzkim umyśle;;;
91;k;nauka o uczeniu się, o poznaniu i mózgu;zdobycie wiedzy;;zawód związany z psychologią
92;m;nauka o mózgu, poznaniu. Psychologia z neurobiologią;zdobycie nowej wiedzy;gdy dostanę pracę związaną z kierunkiem;terapeutą behawioralnym
93;m;interdyscyplinarna nauka o poznaniu;zdobycie wiedzy, zaliczenie studiów;;programista
94;m;nauka o poznaniu, sztucznej inteligencji i mózgu;;;
